,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
1550,617.0,2021-08-02 08:22:30,2021-08-02 08:29:53,ca:46:9c:31:0b:9c,-93,6,-22.829420000000002,-47.065033,-22.815321,-47.072507,76,81,443,2021-08-02 08:22:30,1.744871496502698
1728,617.0,2021-08-02 08:28:33,2021-08-02 08:29:43,ee:54:eb:05:01:bd,-88,1,-22.819023,-47.072348999999996,-22.816091,-47.072666999999996,246,255,70,2021-08-02 08:28:33,0.32764909650166524
1872,617.0,2021-08-02 08:35:21,2021-08-02 08:39:44,d4:9c:dd:52:bd:96,-92,2,-22.821326000000003,-47.067791,-22.818378,-47.063997,34,398,263,2021-08-02 08:35:21,0.5085881976434358
2251,617.0,2021-08-02 09:09:44,2021-08-02 09:23:16,f0:b5:d1:5d:08:6e,-89,11,-22.816561,-47.07269,-22.825418,-47.066534000000004,45,216,812,2021-08-02 09:09:44,1.1696223165625539
2368,617.0,2021-08-02 09:14:40,2021-08-02 09:19:51,0a:36:b3:f8:13:c4,-91,6,-22.820529,-47.068211,-22.818135,-47.0628,72,333,311,2021-08-02 09:14:40,0.6151644066292533
3238,617.0,2021-08-02 11:11:53,2021-08-02 11:17:47,9a:d3:ba:30:f2:a2,-94,11,-22.8296,-47.061537,-22.818682,-47.072291,55,12,354,2021-08-02 11:11:53,1.6397020714426658
3640,617.0,2021-08-02 11:18:47,2021-08-02 11:28:28,c6:5c:22:fa:02:90,-52,1,-22.816551999999998,-47.072672999999995,-22.818144,-47.062428999999995,240,207,581,2021-08-02 11:18:47,1.064762987597929
3938,617.0,2021-08-02 11:28:12,2021-08-02 11:35:35,50:3d:c6:7d:3a:7d,-94,6,-22.818273,-47.063618,-22.829818,-47.060028,90,351,443,2021-08-02 11:28:12,1.3354333523492337
4194,617.0,2021-08-02 11:59:33,2021-08-02 12:01:27,9e:0a:6a:b2:7a:c1,-82,6,-22.825423999999998,-47.065868,-22.823784,-47.068233,166,105,114,2021-08-02 11:59:33,0.3033238531339497
4244,617.0,2021-08-02 12:00:53,2021-08-02 12:02:31,de:fd:08:38:70:c8,-92,1,-22.824645,-47.067464,-22.821465,-47.070315,206,155,98,2021-08-02 12:00:53,0.4587071993440199
4301,617.0,2021-08-02 12:02:53,2021-08-02 12:04:00,be:fd:e2:93:d4:3a,-42,11,-22.819858,-47.071829,-22.816726,-47.072689000000004,246,212,67,2021-08-02 12:02:53,0.3592442830553903
5400,617.0,2021-08-02 12:32:45,2021-08-02 12:35:08,e8:5a:8b:27:ed:1a,-95,6,-22.829355,-47.061788,-22.827351,-47.067357,147,24,143,2021-08-02 12:32:45,0.612699238255276
5497,617.0,2021-08-02 12:35:11,2021-08-02 12:42:31,ae:09:a2:10:ab:e5,-56,11,-22.827188,-47.067478,-22.81256,-47.067375,72,121,440,2021-08-02 12:35:11,1.626595890448546
5577,617.0,2021-08-02 12:36:47,2021-08-02 12:38:57,60:45:cb:98:7d:33,-89,10,-22.825264,-47.06644,-22.820041,-47.071639000000005,53,201,130,2021-08-02 12:36:47,0.7881739291200169
5729,617.0,2021-08-02 12:41:49,2021-08-02 12:51:20,10:7b:44:ca:09:93,-85,6,-22.813173000000003,-47.068006,-22.818320999999997,-47.059635,254,353,571,2021-08-02 12:41:49,1.0314141788781357
