,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,device_id,duration,ts_sort,distancias
248,2021-07-01 07:44:14,2021-07-01 07:47:21,0a:bb:d9:85:51:b4,-94,11,-22.825604000000002,-47.066175,-22.821066000000002,-47.06713,71,243,,187,2021-07-01 07:44:14,0.5140081585622979
474,2021-07-01 08:13:48,2021-07-01 08:23:38,02:25:6a:00:f5:5f,-89,1,-22.816262,-47.072633,-22.819976999999998,-47.067926,192,34,,590,2021-07-01 08:13:48,0.6351269821577242
883,2021-07-01 08:37:58,2021-07-01 08:39:11,d0:04:01:8d:39:f4,-91,1,-22.813466000000002,-47.062003000000004,-22.81456,-47.057207,136,443,,73,2021-07-01 08:37:58,0.5063995048276143
1486,2021-07-01 11:04:27,2021-07-01 11:14:47,50:92:b9:6d:df:78,-68,1,-22.81597,-47.072634,-22.829565,-47.062298,162,0,,620,2021-07-01 11:04:27,1.845917574066729
1843,2021-07-01 11:17:37,2021-07-01 11:19:45,b6:2f:1f:34:6d:4c,-89,9,-22.824845,-47.065407,-22.822979,-47.068799,164,357,,128,2021-07-01 11:17:37,0.4048539650027958
2387,2021-07-01 12:01:47,2021-07-01 12:12:57,40:06:a0:5b:a7:89,-86,11,-22.824739,-47.065241,-22.816868,-47.063586,34,198,,670,2021-07-01 12:01:47,0.8915019382776965
2392,2021-07-01 12:01:52,2021-07-01 12:03:17,d6:5c:cf:40:ba:93,-90,6,-22.824873999999998,-47.065501,-22.827468,-47.067324,34,203,,85,2021-07-01 12:01:52,0.34366334344493116
2470,2021-07-01 12:03:40,2021-07-01 12:09:59,90:73:5a:25:40:c2,-83,11,-22.828615,-47.06625,-22.82398,-47.067972999999995,46,281,,379,2021-07-01 12:03:40,0.5448010979695841
2548,2021-07-01 12:06:22,2021-07-01 12:08:36,d2:d1:e8:14:6d:a1,-91,6,-22.829455,-47.064314,-22.824932,-47.065601,34,359,,134,2021-07-01 12:06:22,0.519943747071518
3269,2021-07-01 12:51:31,2021-07-01 12:53:27,b4:ef:39:f2:46:5d,-73,6,-22.825274,-47.066297,-22.831419,-47.063314,68,314,,116,2021-07-01 12:51:31,0.7485661218484536
3319,2021-07-01 12:52:55,2021-07-01 12:57:13,60:1d:91:7c:ba:00,-90,10,-22.828998000000002,-47.065851,-22.826014999999998,-47.067025,204,364,,258,2021-07-01 12:52:55,0.35284283356309115
3425,2021-07-01 12:56:32,2021-07-01 13:00:26,8c:f1:12:17:90:75,-42,8,-22.82787,-47.066778,-22.822282,-47.069439,35,470,,234,2021-07-01 12:56:32,0.6785735668669451
3946,2021-07-01 13:41:30,2021-07-01 13:42:30,16:1f:67:a6:37:b6,-93,11,-22.827242000000002,-47.067491,-22.831413,-47.063385,176,137,,60,2021-07-01 13:41:30,0.6262424092555795
4422,2021-07-01 14:37:28,2021-07-01 14:39:45,04:d3:95:ad:ec:48,-94,1,-22.820072,-47.068098,-22.825178,-47.066148999999996,59,151,,137,2021-07-01 14:37:28,0.6018760263810102
5758,2021-07-01 17:03:22,2021-07-01 17:12:28,ca:ea:34:c5:13:fd,-92,6,-22.829086,-47.065843,-22.818761,-47.064292,44,321,,546,2021-07-01 17:03:22,1.1590414425869389
5819,2021-07-01 17:06:16,2021-07-01 17:09:15,50:92:b9:58:fd:34,-91,6,-22.828494,-47.066293,-22.824227,-47.067794,40,382,,179,2021-07-01 17:06:16,0.49878424131442417
5888,2021-07-01 17:08:41,2021-07-01 17:11:02,7c:fd:6b:bb:1c:bc,-91,1,-22.825008999999998,-47.067059,-22.821628,-47.068612,71,451,,141,2021-07-01 17:08:41,0.40825544518429674
5903,2021-07-01 17:09:07,2021-07-01 17:19:01,a8:5c:2c:2b:3e:f3,-90,6,-22.82424,-47.06778,-22.813295999999998,-47.064362,36,466,,594,2021-07-01 17:09:07,1.2663393984220528
5953,2021-07-01 17:11:40,2021-07-01 17:12:41,58:b6:33:bb:0b:c8,-84,1,-22.820875,-47.066787,-22.818111,-47.063715,44,516,,61,2021-07-01 17:11:40,0.4399928924967738
8832,2021-07-02 08:33:15,2021-07-02 08:46:57,68:7d:6b:40:b8:df,-91,1,-22.825249,-47.066387,-22.814137,-47.071699,102,380,,822,2021-07-02 08:33:15,1.3502288368808029
10511,2021-07-02 11:04:55,2021-07-02 11:14:36,50:92:b9:6d:df:78,-58,11,-22.815948000000002,-47.072645,-22.829432,-47.061721999999996,173,0,,581,2021-07-02 11:04:55,1.8711840560267081
10515,2021-07-02 11:04:58,2021-07-02 11:11:43,48:49:c7:19:22:fa,-50,6,-22.815684,-47.0726,-22.828251,-47.066613000000004,205,4,,405,2021-07-02 11:04:58,1.5261749631649013
10520,2021-07-02 11:05:01,2021-07-02 11:12:29,0c:cb:85:be:04:42,-50,11,-22.815464000000002,-47.072538,-22.828820999999998,-47.066109999999995,240,9,,448,2021-07-02 11:05:01,1.6247895238782797
