,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
226,,2021-06-01 07:41:22,2021-06-01 07:47:07,f0:d7:aa:05:66:18,-40,1,-22.829499,-47.063891999999996,-22.821215,-47.06746,250,196,345,2021-06-01 07:41:22,0.9910689455121874
744,,2021-06-01 09:24:22,2021-06-01 09:29:47,86:a7:a2:b5:11:7a,-85,1,-22.825870000000002,-47.066720000000004,-22.816695000000003,-47.063552,158,249,325,2021-06-01 09:24:22,1.0706363400601122
755,,2021-06-01 09:24:51,2021-06-01 09:32:50,08:8c:2c:28:4b:33,-56,1,-22.825682999999998,-47.066245,-22.813499,-47.061077000000004,123,260,479,2021-06-01 09:24:51,1.4546629624488163
849,,2021-06-01 09:30:26,2021-06-01 09:36:24,9a:41:34:1d:af:30,-87,11,-22.814146,-47.064378000000005,-22.817959,-47.063955,38,354,358,2021-06-01 09:30:26,0.42619774159595114
1002,,2021-06-01 11:05:12,2021-06-01 11:11:17,48:49:c7:19:22:fa,-51,1,-22.816364,-47.072659,-22.824409,-47.064886,99,7,365,2021-06-01 11:05:12,1.197881685318237
1005,,2021-06-01 11:05:32,2021-06-01 11:14:25,5a:1e:db:e7:30:30,-50,1,-22.816376,-47.072665,-22.830985000000002,-47.063990999999994,60,10,533,2021-06-01 11:05:32,1.8517921481980113
1009,,2021-06-01 11:05:37,2021-06-01 11:11:14,30:4b:07:ce:9a:01,-49,1,-22.816384,-47.072666,-22.824412,-47.064892,210,14,337,2021-06-01 11:05:37,1.1965388800762866
1691,,2021-06-01 12:02:06,2021-06-01 12:03:46,6e:f9:6d:9d:91:b4,-89,12,-22.82611,-47.067657000000004,-22.831891,-47.062247,30,145,100,2021-06-01 12:02:06,0.8488950951118456
1783,,2021-06-01 12:05:21,2021-06-01 12:08:19,22:fe:2f:23:f7:a9,-91,1,-22.829531,-47.063333,-22.825722,-47.066349,123,237,178,2021-06-01 12:05:21,0.5243367698415999
1790,,2021-06-01 12:05:27,2021-06-01 12:09:31,52:e9:ae:54:b0:f4,-81,1,-22.829519,-47.063584999999996,-22.825142,-47.066093,199,244,244,2021-06-01 12:05:27,0.5504041892484762
2635,,2021-06-01 13:01:01,2021-06-01 13:02:02,bc:98:df:87:b8:8f,-95,4,-22.820987,-47.066987,-22.818551,-47.064101,40,445,61,2021-06-01 13:01:01,0.40107815187001
13930,,2021-06-02 12:52:28,2021-06-02 12:56:59,50:92:b9:11:55:f0,-90,6,-22.825449,-47.066558,-22.828543,-47.066228,152,129,271,2021-06-02 12:52:28,0.34569593688971145
13976,,2021-06-02 12:53:30,2021-06-02 13:03:58,50:92:b9:0e:74:a8,-93,6,-22.828585,-47.066281,-22.813263,-47.063171000000004,43,175,628,2021-06-02 12:53:30,1.7332913349279777
22663,,2021-06-07 07:43:12,2021-06-07 07:46:50,f0:d7:aa:05:66:18,-45,6,-22.829446,-47.064577,-22.824938,-47.067085,153,252,218,2021-06-07 07:43:12,0.5633260165231777
23730,,2021-06-07 08:21:17,2021-06-07 08:25:52,02:25:6a:00:f5:5f,-43,6,-22.815644,-47.072612,-22.824289,-47.064969,181,4,275,2021-06-07 08:21:17,1.2400359195543553
24729,,2021-06-07 09:04:07,2021-06-07 09:18:44,02:00:00:00:00:00,-90,5,-22.816363,-47.072671,-22.829739,-47.065195,45,38,877,2021-06-07 09:04:07,1.6731031421862737
24945,,2021-06-07 09:20:58,2021-06-07 09:22:17,f8:c3:9e:8b:c2:d4,-90,6,-22.829468,-47.063627000000004,-22.828008999999998,-47.066702,61,254,79,2021-06-07 09:20:58,0.35444869212735136
25249,,2021-06-07 11:02:26,2021-06-07 11:09:36,c6:5c:22:fa:02:90,-85,11,-22.816024,-47.07257,-22.818941,-47.066772,81,2,430,2021-06-07 11:02:26,0.6770144475843248
25259,,2021-06-07 11:03:03,2021-06-07 11:11:52,48:49:c7:19:22:fa,-93,1,-22.816017000000002,-47.072563,-22.824373,-47.064867,165,12,529,2021-06-07 11:03:03,1.218801554011564
25262,,2021-06-07 11:03:14,2021-06-07 11:12:10,78:23:27:25:3d:ea,-92,11,-22.816013,-47.072559000000005,-22.824645,-47.065001,229,15,536,2021-06-07 11:03:14,1.2334245387387293
25280,,2021-06-07 11:05:24,2021-06-07 11:11:42,78:23:27:3d:cd:46,-76,1,-22.816361999999998,-47.072665,-22.824367000000002,-47.064879,184,33,378,2021-06-07 11:05:24,1.1954528577327397
25301,,2021-06-07 11:06:03,2021-06-07 11:13:05,a8:96:75:4c:66:9b,-57,11,-22.816365,-47.072682,-22.825156,-47.066003,119,50,422,2021-06-07 11:06:03,1.1933688104551377
25417,,2021-06-07 11:10:26,2021-06-07 11:20:49,a8:16:d0:24:59:e5,-94,11,-22.821247,-47.067869,-22.824732,-47.067302000000005,31,134,623,2021-06-07 11:10:26,0.39184780777269573
25585,,2021-06-07 11:13:16,2021-06-07 11:15:10,50:3d:c6:06:0e:9c,-92,1,-22.82534,-47.066421999999996,-22.829212,-47.065729,82,223,114,2021-06-07 11:13:16,0.4363659829059877
26209,,2021-06-07 11:33:37,2021-06-07 11:34:57,30:fc:eb:71:e7:d3,-89,6,-22.813765,-47.069486,-22.816254,-47.072794,49,582,80,2021-06-07 11:33:37,0.4376718691155412
27321,,2021-06-07 12:05:32,2021-06-07 12:07:34,68:7d:6b:1c:ee:4f,-88,1,-22.829488,-47.06447,-22.82562,-47.066223,160,243,122,2021-06-07 12:05:32,0.46611709695717374
27468,,2021-06-07 12:09:29,2021-06-07 12:20:22,5a:1e:db:e7:30:30,-89,1,-22.824824,-47.06729,-22.815634,-47.06262,127,392,653,2021-06-07 12:09:29,1.1284218451135906
27533,,2021-06-07 12:12:33,2021-06-07 12:17:44,38:9a:f6:05:8a:05,-89,1,-22.820417000000003,-47.066131,-22.813503,-47.061021999999994,76,457,311,2021-06-07 12:12:33,0.9301924011884157
35094,,2021-06-08 07:37:17,2021-06-08 07:38:33,f4:f1:e1:8a:7e:5c,-93,11,-22.82531,-47.066475,-22.828437,-47.066383,97,127,76,2021-06-08 07:37:17,0.34783483184847863
35106,,2021-06-08 07:37:47,2021-06-08 07:41:42,70:fd:46:05:d9:48,-91,6,-22.826517000000003,-47.0677,-22.829381,-47.064928,155,139,235,2021-06-08 07:37:47,0.42676187440548624
35169,,2021-06-08 07:40:52,2021-06-08 07:45:48,f0:d7:aa:05:66:18,-89,13,-22.829552,-47.062913,-22.822288,-47.069444,87,202,296,2021-06-08 07:40:52,1.0490157667113995
36266,,2021-06-08 08:20:42,2021-06-08 08:27:00,02:25:6a:00:f5:5f,-41,6,-22.815876,-47.072684,-22.827579,-47.06723,238,5,378,2021-06-08 08:20:42,1.4162924742274354
36390,,2021-06-08 08:27:10,2021-06-08 08:32:09,c6:43:fe:7a:db:09,-81,1,-22.827982000000002,-47.066814,-22.825404000000002,-47.065876,54,129,299,2021-06-08 08:27:10,0.30235065488192303
37673,,2021-06-08 11:04:38,2021-06-08 11:07:32,48:49:c7:19:22:fa,-86,1,-22.816354,-47.07266,-22.815357000000002,-47.066728999999995,93,6,174,2021-06-08 11:04:38,0.6179223527367974
37885,,2021-06-08 11:15:35,2021-06-08 11:19:38,40:06:a0:5b:8c:b2,-92,11,-22.829729,-47.061896000000004,-22.824545,-47.067499,79,218,243,2021-06-08 11:15:35,0.8136449604086577
37998,,2021-06-08 11:19:44,2021-06-08 11:25:07,48:90:2f:d6:99:2a,-59,1,-22.824272,-47.067726,-22.814134,-47.059215,95,331,323,2021-06-08 11:19:44,1.4253849718848177
